    "winterblight_snowball_kid"
    {
        "BaseClass" "npc_dota_base_additive"
        "Model"  "models/creeps/ice_biome/tuskfolk/tuskfolk001b_f.vmdl"
        "SoundSet"  "Creep_Good_Range"
        "Level" "1"
        "UnitLabel" "healing_ward"
        "ModelScale"    "1.3"
        "Ability1"  "winterblight_snowball_thrower"
        "Ability2"  ""
        "Ability3"  ""
        "Ability4"  ""
        "Ability5"  ""
        "Ability6"  ""
        "Ability7"  ""
        "Ability8"  ""
        "precache"
        {
            "soundfile" "soundevents/game_sounds_winterblight.vsndevts"
            "particle"  "particles/econ/items/winter_wyvern/winter_wyvern_ti7/status_effect_winter_wyvern_cold_embrace_ti7.vpcf"
        }
        "ArmorPhysical" "0"
        "MagicalResistance" "0"
        "AttackCapabilities"    "DOTA_UNIT_CAP_RANGED_ATTACK"
        "ProjectileModel"   "particles/econ/events/snowball/snowball_projectile.vpcf"
        "ProjectileSpeed"   "600"
        "AttackDamageMin"   "0"
        "AttackDamageMax"   "0"
        "AttackDamageType"  "DAMAGE_TYPE_ArmorPhysical"
        "AttackRate"    "1"
        "AttackAnimationPoint"  "0"
        "AttackAcquisitionRange"    "0"
        "AttackRange"   "900"
        "ProjectileModel"   ""
        "ProjectileSpeed"   "900"
        "BountyXP"  "0"
        "BountyGoldMin" "0"
        "BountyGoldMax" "0"
        "RingRadius"    "0"
        "HasInventory"  "0"
        "CollisionSize" "0"
        "MovementCapabilities"  "DOTA_UNIT_CAP_MOVE_GROUND"
        "MovementSpeed" "220"
        "MovementTurnRate"  "2"
        "FollowRange"   "0"
        "StatusHealth"  "1"
        "StatusHealthRegen" "0"
        "StatusMana"    "0"
        "StatusManaRegen"   "0"
        "TeamName"  "DOTA_TEAM_GOODGUYS"
        "CombatClassAttack" "DOTA_COMBAT_CLASS_ATTACK_PIERCE"
        "CombatClassDefend" "DOTA_COMBAT_CLASS_DEFEND_BASIC"
        "UnitRelationshipClass" "DOTA_NPC_UNIT_RELATIONSHIP_TYPE_WARD"
        "VisionDaytimeRange"    "0"
        "VisionNighttimeRange"  "0"
        "AttackDesire"  "1.5"
    }

